date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,weathercode,fuente,weather_cat,temp_avg,has_rain
2025-12-14,14.8,4.9,2.3,11.9,55,observado,lluvia,9.850000000000001,1
2025-12-15,15.1,10.3,36.6,14.4,65,observado,lluvia,12.7,1
2025-12-16,14.8,8.0,2.0,14.3,53,observado,lluvia,11.4,1
2025-12-17,15.8,8.5,0.1,12.0,51,observado,lluvia,12.15,0
2025-12-18,15.2,6.9,0.0,9.2,3,observado,nublado,11.05,0
2025-12-19,15.6,7.1,1.5,9.7,53,observado,lluvia,11.35,1
2025-12-20,14.0,10.9,12.0,9.3,63,observado,lluvia,12.45,1
2025-12-21,14.8,9.2,3.2,15.5,53,observado,lluvia,12.0,1
2025-12-22,11.5,7.5,10.6,16.5,63,observado,lluvia,9.5,1
2025-12-23,9.1,5.4,4.6,14.0,61,observado,lluvia,7.25,1
2025-12-24,13.7,4.3,0.0,18.1,3,observado,nublado,9.0,0
2025-12-25,12.5,7.4,5.7,17.7,55,observado,lluvia,9.95,1
2025-12-26,12.1,10.3,14.6,26.1,61,observado,lluvia,11.2,1
2025-12-27,12.7,10.7,44.4,30.1,65,observado,lluvia,11.7,1
2025-12-28,14.9,9.9,0.8,17.1,51,observado,lluvia,12.4,1
2025-12-29,13.5,9.0,19.9,9.8,63,observado,lluvia,11.25,1
2025-12-30,14.1,6.2,0.0,11.7,2,observado,nublado,10.15,0
2025-12-31,11.9,5.8,0.2,11.5,51,observado,lluvia,8.85,1
2026-01-01,12.4,2.5,0.0,15.3,3,observado,nublado,7.45,0
2026-01-02,11.1,4.3,0.0,10.9,3,observado,nublado,7.699999999999999,0
2026-01-03,11.3,5.7,1.4,13.4,51,observado,lluvia,8.5,1
2026-01-04,9.2,6.9,3.2,10.4,51,observado,lluvia,8.05,1
2026-01-05,7.3,4.7,1.1,12.4,51,observado,lluvia,6.0,1
2026-01-06,9.8,0.5,0.0,14.3,3,observado,nublado,5.15,0
2026-01-07,8.4,-0.1,0.0,13.9,3,observado,nublado,4.15,0
2026-01-08,14.8,4.0,0.0,20.1,3,observado,nublado,9.4,0
2026-01-09,15.8,9.2,0.0,27.6,3,observado,nublado,12.5,0
2026-01-10,13.3,6.4,0.1,21.7,51,observado,lluvia,9.850000000000001,0
2026-01-11,12.7,3.0,0.0,9.4,3,observado,nublado,7.85,0
2026-01-12,14.5,3.3,0.0,13.2,3,observado,nublado,8.9,0
2026-01-13,15.6,5.6,0.0,9.4,3,observado,nublado,10.6,0
2026-01-14,14.4,5.0,0.0,8.4,3,observado,nublado,9.7,0
2026-01-15,14.4,5.2,0.0,13.1,3,observado,nublado,9.8,0
2026-01-16,13.7,4.6,0.1,7.6,51,observado,lluvia,9.149999999999999,0
2026-01-17,12.8,8.8,35.9,22.1,63,observado,lluvia,10.8,1
2026-01-18,12.4,10.3,12.4,17.0,63,observado,lluvia,11.350000000000001,1
2026-01-19,13.3,7.9,5.4,17.2,63,observado,lluvia,10.600000000000001,1
2026-01-20,11.8,8.0,43.0,23.8,63,observado,lluvia,9.9,1
2026-01-21,13.8,6.6,0.8,16.8,51,observado,lluvia,10.2,1
2026-01-22,14.2,7.9,2.2,16.5,53,observado,lluvia,11.05,1
2026-01-23,15.3,5.5,0.0,14.5,3,observado,nublado,10.4,0
2026-01-24,7.2,4.9,27.6,19.1,71,observado,extremo,6.050000000000001,1
2026-01-25,13.8,4.3,0.0,20.7,3,observado,nublado,9.05,0
2026-01-26,13.8,8.3,0.3,27.7,51,observado,lluvia,11.05,1
2026-01-27,14.5,7.0,4.5,22.1,61,observado,lluvia,10.75,1
2026-01-28,10.5,7.2,0.2,20.0,51,observado,lluvia,8.85,1
2026-01-29,14.9,6.8,0.0,14.6,3,observado,nublado,10.85,0
2026-01-30,15.9,7.6,0.4,22.1,51,observado,lluvia,11.75,1
2026-01-31,15.6,8.4,0.5,22.0,51,observado,lluvia,12.0,1
2026-02-01,13.3,6.2,0.3,19.6,51,observado,lluvia,9.75,1
2026-02-02,13.3,5.4,2.7,16.9,53,observado,lluvia,9.350000000000001,1
2026-02-03,14.9,4.9,0.0,17.8,3,observado,nublado,9.9,0
2026-02-04,14.0,5.0,0.7,16.2,51,observado,lluvia,9.5,1
2026-02-05,15.2,7.8,2.5,23.4,61,observado,lluvia,11.5,1
2026-02-06,17.3,10.5,0.0,19.5,3,observado,nublado,13.9,0
2026-02-07,14.7,9.2,0.0,18.9,3,observado,nublado,11.95,0
