id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable
18674,la Sagrada Família,Eixample,41.40556,2.17262,Entire rental unit,Entire home/apt,8,2.0,3.0,6.0,1,1125,20,50,74,115,54,54,0.35,4.36,4.81,4.34,0,1
2031134,el Fort Pienc,Eixample,41.40001,2.18416,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,2,1125,17,42,68,294,255,453,3.16,4.78,4.79,4.71,1,1
4415694,el Poble Sec,Sants-Montjuïc,41.3723,2.16441,Entire rental unit,Entire home/apt,5,1.0,2.0,2.0,3,1125,23,46,69,115,66,182,1.39,4.38,4.67,4.2,0,0
4415780,la Vila de Gràcia,Gràcia,41.40667,2.16152,Private room in rental unit,Private room,2,1.0,1.0,1.0,1,3,0,0,0,0,0,5,0.04,4.4,4.75,4.5,0,0
5064035,la Vila de Gràcia,Gràcia,41.39996,2.16339,Entire rental unit,Entire home/apt,6,1.5,2.0,4.0,3,1125,4,20,39,222,138,128,0.99,4.41,4.73,4.26,0,1
5064651,la Sagrada Família,Eixample,41.40687,2.17813,Private room in rental unit,Private room,1,1.0,1.0,1.0,1,1125,0,0,0,0,0,9,0.07,5.0,4.89,5.0,0,0
6163177,el Poblenou,Sant Martí,41.39782,2.20745,Private room in bed and breakfast,Private room,6,1.0,3.0,3.0,32,365,30,60,90,365,0,14,0.11,4.29,4.5,4.14,0,0
8414793,el Poblenou,Sant Martí,41.39909,2.20733,Entire serviced apartment,Entire home/apt,3,1.0,1.0,2.0,1,28,29,59,89,190,255,300,2.47,4.75,4.8,4.48,1,0
9357521,la Vila de Gràcia,Gràcia,41.39897,2.15688,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,1,1125,21,48,64,325,138,160,1.36,4.75,4.9,4.71,0,0
9358082,el Clot,Sant Martí,41.41029,2.18694,Private room in rental unit,Private room,3,1.0,1.0,1.0,1,1125,0,0,0,0,0,0,0.0,4.805,4.779999999999999,4.665,0,0
9362251,el Poble Sec,Sants-Montjuïc,41.37333,2.15451,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,3,1125,14,40,55,221,0,42,0.36,4.36,4.71,4.31,0,0
10031534,la Sagrada Família,Eixample,41.40704,2.18098,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,3,1125,19,41,69,296,66,58,0.49,4.38,4.74,4.16,0,1
10038461,el Poble Sec,Sants-Montjuïc,41.37431,2.16577,Entire rental unit,Entire home/apt,4,1.0,2.0,4.0,2,90,13,39,63,251,255,464,3.83,4.86,4.86,4.8,0,1
